Manufacturer,Name,Codename,CPU Total Cores,CPU Total Threads,CPU Base Frequency (in GHz),CPU Max Frequency (in GHz),Socket,Process (in nm),CPU Cache L3 (in MB),CPU TDP L1 (in Watts),Released
Intel,Xeon Bronze 3106,Skylake-SP,8,8,"2,1",3,Socket 3647,14 nm,11,85,"Jul 11th, 2017"
Intel,Xeon E3-1285 v6,Kaby Lake-DT,4,8,"4,1","4,5",Socket 1151,14 nm,8,79,"Aug 1st, 2017"
Intel,Xeon Gold 6154,Skylake-SP,18,36,3,"3,7",Socket 3647,14 nm,"24,75",200,"Jul 11th, 2017"
Intel,Xeon Phi 7235,Knights Mill,64,256,"1,3","1,4",Socket 3647,14 nm,N/A,250,"Dec 1st, 2017"
Intel,Xeon Phi 7285,Knights Mill,68,272,"1,3","1,4",Socket 3647,14 nm,N/A,250,"Dec 1st, 2017"
Intel,Xeon Phi 7295,Knights Mill,72,288,"1,5","1,6",Socket 3647,14 nm,N/A,320,"Dec 1st, 2017"
Intel,Xeon Platinum 8180,Skylake-SP,28,56,"2,5","3,8",Socket 3647,14 nm,"38,5",205,"Jul 11th, 2017"
Intel,Xeon Platinum 8180M,Skylake-SP,28,56,"2,5","3,8",Socket 3647,14 nm,"38,5",205,"Jul 11th, 2017"
Intel,Xeon Silver 4116,Skylake-SP,12,24,"2,1",3,Socket 3647,14 nm,"16,5",85,"Jul 11th, 2017"
Intel,Xeon W-2195,Skylake-W,18,36,"2,3","4,3",Socket 2066,14 nm,"24,75",140,"Sep 29th, 2017"
Intel,Xeon E-2124,Coffee Lake-S,4,4,"3,4","4,5",Socket 1151,14 nm,8,72,"May 31st, 2018"
Intel,Xeon E-2124G,Coffee Lake-S,4,4,"3,4","4,5",Socket 1151,14 nm,8,72,"May 31st, 2018"
Intel,Xeon Platinum 8253,Cascade Lake-SP,16,32,"2,2",3,Socket 3647,14 nm,22,125,"Dec 11th, 2018"
Intel,Xeon Platinum 8256,Cascade Lake-SP,4,8,"3,8","3,9",Socket 3647,14 nm,"16,5",105,"Dec 11th, 2018"
Intel,Xeon Platinum 8260,Cascade Lake-SP,24,48,"2,4","3,9",Socket 3647,14 nm,"35,75",165,"Dec 11th, 2018"
Intel,Xeon Platinum 8260M,Cascade Lake-SP,24,48,"2,4","3,9",Socket 3647,14 nm,"35,75",165,"Dec 11th, 2018"
Intel,Xeon Platinum 8268,Cascade Lake-SP,24,48,"2,9","3,9",Socket 3647,14 nm,"35,75",205,"Dec 11th, 2018"
Intel,Xeon Platinum 8270,Cascade Lake-SP,26,52,"2,7",4,Socket 3647,14 nm,"35,75",205,"Dec 11th, 2018"
Intel,Xeon Platinum 8276,Cascade Lake-SP,28,56,"2,2",4,Socket 3647,14 nm,"38,5",165,"Dec 11th, 2018"
Intel,Xeon Platinum 8280,Cascade Lake-SP,28,56,"2,7",4,Socket 3647,14 nm,"38,5",205,"Dec 11th, 2018"
Intel,Xeon Platinum 8280M,Cascade Lake-SP,28,56,"2,7",4,Socket 3647,14 nm,"38,5",205,"Dec 11th, 2018"
Intel,Xeon W-3175X,Skylake-W,28,56,"3,1","4,3",Socket 3647,14 nm,"38,5",255,"Dec 19th, 2018"
Intel,Xeon Platinum 9221,Cascade Lake-AP,32,64,"2,1","3,7",BGA5903,14 nm,"71,5",250,"Apr 2nd, 2019"
Intel,Xeon Platinum 9222,Cascade Lake-AP,32,64,"2,3","3,7",BGA5903,14 nm,"71,5",250,"Apr 2nd, 2019"
Intel,Xeon Platinum 9242,Cascade Lake-AP,48,96,"2,3","3,8",BGA5903,14 nm,"71,5",350,"Apr 2nd, 2019"
Intel,Xeon Platinum 9282,Cascade Lake-AP,56,112,"2,6","3,8",BGA5903,14 nm,77,400,"Apr 2nd, 2019"
Intel,Xeon Gold 5315Y,Ice Lake-SP,8,16,"3,2","3,6",Socket 4189,10 nm,12,140,"Apr 6th, 2021"
Intel,Xeon Gold 5317,Ice Lake-SP,12,24,3,"3,6",Socket 4189,10 nm,18,150,"Apr 6th, 2021"
Intel,Xeon Gold 5318H,Cooper Lake-SP,18,36,"2,5","3,8",Socket 4189,14 nm,"24,75",150,"Apr 6th, 2021"
Intel,Xeon Gold 5318N,Ice Lake-SP,24,48,"2,1","3,4",Socket 4189,10 nm,36,150,"Apr 6th, 2021"
Intel,Xeon Gold 5318S,Ice Lake-SP,24,48,"2,1","3,4",Socket 4189,10 nm,36,165,"Apr 6th, 2021"
Intel,Xeon Gold 5318Y,Ice Lake-SP,24,48,"2,1","3,4",Socket 4189,10 nm,36,165,"Apr 6th, 2021"
Intel,Xeon Gold 5320,Ice Lake-SP,26,52,"2,2","3,4",Socket 4189,10 nm,39,185,"Apr 6th, 2021"
Intel,Xeon Gold 5320H,Cooper Lake-SP,20,40,"2,4","4,2",Socket 4189,14 nm,"27,5",150,"Apr 6th, 2021"
Intel,Xeon Gold 5320T,Ice Lake-SP,20,40,"2,3","3,5",Socket 4189,10 nm,30,150,"Apr 6th, 2021"
Intel,Xeon Gold 6312U,Ice Lake-SP,24,48,"2,4","3,6",Socket 4189,10 nm,36,185,"Apr 6th, 2021"
Intel,Xeon Gold 6314U,Ice Lake-SP,32,64,"2,3","3,4",Socket 4189,10 nm,48,205,"Apr 6th, 2021"
Intel,Xeon Gold 6326,Ice Lake-SP,16,32,"2,9","3,5",Socket 4189,10 nm,24,185,"Apr 6th, 2021"
Intel,Xeon Gold 6328H,Cooper Lake-SP,16,32,"2,8","4,3",Socket 4189,14 nm,22,165,"Apr 6th, 2021"
Intel,Xeon Gold 6328HL,Cooper Lake-SP,16,32,"2,8","4,3",Socket 4189,14 nm,22,165,"Apr 6th, 2021"
Intel,Xeon Gold 6330,Ice Lake-SP,28,56,2,"3,1",Socket 4189,10 nm,42,205,"Apr 6th, 2021"
